name,File Name,medium,year,rotator,all,home,Portfolio,Underground,Opposition,Unrealized,Isolation,SeriesSix,Burn,PointsOfContention,Swarm,Swirls,Drone-related,Flat,PVC,Argument,TwelveHundredPieces,DTTW,Experiment,OtherPlastics,Card
,,,,,All Images,home,Portfolio,Underground,Opposition,Unrealized,Isolation,SeriesSix,Burn,PointsOfContention,Swarm,Swirls,Drone-related,Flat,PVC,Argument,TwelveHundredPieces,DTTW,Experiment,OtherPlastics,Card
"Isolation in Boulder, Colorado",IMG_0149.jpg,"Wood, Steel",2024, ,x,,,,,,x,,,,,,,,,,,,,,
Curves V1,IMG_0696.jpg,Plastic,2024,x,x,,x,,,,,,,,,,,,,,,,,x,
Black Sea,IMG_0867.jpg,Photograph,2024,,x,,x,,,,,,,,,,,,,,,,,,
"Curves V1 in Sinaia, Romania",IMG_0926.jpg,Plastic,2024,,x,,x,,,,,,,,,,,,,,,,,x,
"Street Intervention in Bucharest, Romania",IMG_1730.jpg,Plastic,2024,,x,,,,,,,,,,,,,,,,,,,,
Inside Out V2 Maquette,IMG_2385.jpg,Plastic,2024,,x,,,,,,,,,,,,,,,,,,,x,
"Opposition in Watertown, Massachusetts",IMG_2565.jpg,"Wood, Steet",2022,,x,,,,x,,,,,,,,,,,,,,,,
Curves V2 Detail,IMG_2878.jpg,Plastic,2024,x,x,,x,,,,,,,,,,,,,,,,,x,
Inside Out V1,IMG_7953.jpg,Steel,2023,,x,,x,,,,,,,,,,,,,,,,,,
Small Sculpture,IMG_7980.jpg,"Metal, wire",2023,,x,,,,,,,,,,,,,,,,,,,,
Small Sculpture,IMG_8006.jpg,"Metal, wire",2023,,x,,,,,,,,,,,,,,,,,,,,
Reoriented,IMG_9017.jpg,"Wood, Steel cable",2021,,x,,x,,,,,,,,,,,,,,,,,,
"Small sculpture in Ploiești, Romania",bsf_ploisti.jpg,"Metal, wire",2023,,x,,,,,,,,,,,,,,,,,,,,
Pointy Derivative,pointy_derivative.jpg,"CAD, Photoshop",2023,x,x,,x,,,,,,,,,,,,,,,,,,
Sticker Ball,sticker_ball.jpg,Plastic,2023,,x,,,,,,,,,,,,,,,,,,,x,
"Opposition in Watertown, Massachusetts",IMG_7413.jpg,"Wood, Steel",2023,,x,,,,x,,,,,,,,,,,,,,,,
Summers End in 2024,IMG_7723.jpg,"Wood, Steel",2019,,x,x,,,,,,,,,,,,,,,,,,,
Looking Up in Bucharest,IMG_8263.jpg,Photograph,2023,,x,,x,,,,,,,,,,,,,,,,,,
Inside Out Maquette,IMG_8657.jpg,Stainless Steel,2023,,x,x,x,,,,,,,,,,,,,,,,,,
Wave Assembly - CAD Study,assembly_1-Recovered.jpg,CAD,2023,,x,x,,,,,,,,,,,,,,,,,,,
Wave Assembly - CAD Study,assembly_2-Recovered.jpg,CAD,2023,,x,,x,,,,,,,,,,,,,,,,,,
Curvy,curvy_qr.jpg,CAD,2023,,x,x,x,,,,,,,,,,,,,,,,,,
Isolation in Evergreen,evergreen_dronie.jpg,"Wood, Steel",2023,,x,x,x,,,,x,x,,,,,x,,,,,,,,
Hedgehog on Edge,hedgehog_2-Recovered.jpg,CAD,2023,,x,,,,,,,,,,,,,,,,,,,,
Pointy - CAD Study,pointy_v6.jpg,CAD,2023,,x,,,,,,,,,,,,,,,,,,,,
Roostah Element - CAD study,roostah.jpg,CAD,2023,,x,x,,,,,,,,,,,,,,,,,,,
Sharp - CAD study,sharp v3.jpg,CAD,2023,,x,,,,,,,,,,,,,,,,,,,,
Underground - Second Maquette,underground_2nd_maquette_golden.jpg,Stainless Steel,2023,,x,x,x,x,,,,,,,,,,,,,,,,,
Hedgehog - CAD study,xmas_sited.jpg,CAD,2023,,x,,,,,,,,,,,,,,,,,,,,
Underground,IMG_5733.jpg,Steel,2022,x,x, ,,x,,,,,,,,,,,,,,,,,
Underground,IMG_5726.jpg,Steel,2022,,x,x,,x,,,,,,,,,,,,,,,,,
Underground,IMG_5723.jpg,Steel,2022,,x,,,x,,,,,,,,,,,,,,,,,
Underground,IMG_5740.jpg,Steel,2022,,x,,,x,,,,,,,,,,,,,,,,,
Underground,underground_oblique.jpg,CAD,2022,,x,,,x,,,,,,,,,,,,,,,,,
Opposition,IMG_5616.jpg,"Wood, Steel",2022,x,x, ,,,x,,,,,,,,,,,,,,,,
Opposition,IMG_5614.jpg,"Wood, Steel",2022,,x,x,,,x,,,,,,,,,,,,,,,,
Opposition,IMG_5602.jpg,"Wood, Steel",2022,,x,,,,x,,,,,,,,,,,,,,,,
Rearing Pony,IMG_5489.jpg,"Wood, Cloth, Chicken Wire",2022,,x,,,,,,,,x,,,,,,,,,,,,
Rearing Pony,IMG_5447.jpg,"Wood, Cloth, Chicken Wire",2022,,x,,,,,,,,x,,,,,,,,,,,,
Rearing Pony,IMG_5402.jpg,"Wood, Cloth, Chicken Wire",2022,,x,,,,,,,,x,,,,,,,,,,,,
Sideshow,IMG_5377.jpg,"Wood, LED",2021,,x,,,,,,,,,,,,,,,,,,,,
Unrealized,IMG_5527.jpg,"Wood, Steel",2021,x,x,,,,,x,,,,,,,,,,,,,,,
Unrealized,IMG_5357.jpg,"Wood, Steel",2021,,x,x,,,,x,,x,,,,,,,,,,,,,
Opposition with Artist,IMG_4939.jpg,"Wood, Steel, Human",2022,,x,,,,x,,,,,,,,,,,,,,,,
Dancer Blue,dancer_blue.jpg,"PVC, Photoshop",2022,,x,,,,,,,,,,,,,x,,,,,,,
Cloud Spiral,dave_cloud_spiral.jpg,"Wood, Photoshop",2022,,x,,,,,,,,,,,,,x,,,,,,,
Spikes,spikes.jpg,"CAD, Photoshop",2022,,x,,,,,,,,,,,,,x,,,,,,,
Bonus,Bonus.jpg,CAD,2021,,x,,,,,,,,,,,,,x,,,,,,,
Reoriented,IMG_0959.jpg,"Wood, Steel cable",2021,,x,,x,,,,,,,,,,x,,,,,,,,
Detail,IMG_1105.jpg,CAD,2021,,x,,,,,,,x,,,,,,x,,,,,,,
